Rank		Word		Count
1		OFFICE		139
2		MICROSOFT		125
3		GOOGLE		124
4		STORAGE		51
5		MOBILE		43
6		IOS		40
7		APPLE		40
8		CLOUD		38
9		--		37
10		USE		36
11		DOCS		36
12		APPS		36
13		DRIVE		35
14		DOCUMENTS		33
15		FILES		33
16		OPEN		31
17		SOFTWARE		31
18		PRODUCTIVITY		29
19		USERS		27
20		SUITE		27
21		WINDOWS		25
22		SERVICES		25
23		OFFICE		23
24		SHEETS		23
25		NO		23
26		DOCUMENT		22
27		WEB		22
28		BOX		21
29		ANDROID		21
30		BUT		20
31		WORK		20
32		ONEDRIVE		19
33		APPS		18
34		ONLY		18
35		NEW		17
36		FREE		17
37		DO		17
38		DESKTOP		16
39		IPAD		16
40		SLIDES		16
41		FILE		16
42		SUPPORT		16
43		TIME		16
44		SAID		16
45		VERSION		16
46		SHAREPOINT		15
47		SAVE		15
48		COMPANY		15
49		WELL		15
50		YOU		15
51		PERCENT		14
52		SAYS		14
53		WORD		13
54		IWORK		13
55		DROPBOX		13
56		USING		13
57		TEXT		13
58		FORMAT		12
59		VERSIONS		12
60		IT		12
61		LL		12
62		COMPANIES		12
63		EMAIL		11
64		FEATURES		11
65		YEARS		11
66		ABILITY		11
67		MOST		11
68		ACCESS		11
69		MY		11
70		DEVICES		11
71		EXCEL		11
72		ICLOUD		10
73		TOOLS		10
74		APP		10
75		FIRM		10
76		THERE		10
77		THIRD-PARTY		10
78		BUSINESS		10
79		CITRIX		10
80		MARKET		10
81		STANDARD		10
82		)		10
83		OWN		9
84		GOVERNMENT		9
85		NEED		9
86		QUICKOFFICE		9
87		ONLINE		9
88		HARD		9
89		REDMAN		9
90		BETWEEN		9
91		EXPORT		9
92		ONLINE		9
93		AVAILABLE		9
94		WANT		8
95		CHANGES		8
96		MANY		8
97		APPLICATIONS		8
98		YAMMER		8
99		MAINLAND		8
100		THINGS		8
101		EDITING		8
102		COMES		8
103		SUITES		8
104		ENTERPRISE		8
105		LIMITED		8
106		DON		8
107		LEAST		8
108		ODF		8
109		BUSINESS		8
110		STORED		8
111		DIRECTLY		8
112		BROWSER		8
113		WAY		8
114		CLOUD-BASED		8
115		PER		8
116		GO		8
117		GOOD		8
118		BACK		8
119		PART		8
120		VIA		8
121		-		8
122		INCLUDING		7
123		DOESN		7
124		FACT		7
125		SHAREFILE		7
126		OS		7
127		OFF		7
128		BUSINESSES		7
129		KINGSOFT		7
130		PEOPLE		7
131		THOSE		7
132		ACCOUNT		7
133		PRODUCTS		7
134		CAPABILITIES		7
135		SHARE		7
136		TWO		7
137		BETTER		7
138		COMPATIBILITY		7
139		REAL		7
140		FIND		7
141		EDITOR		7
142		STILL		7
143		SYSTEM		7
144		YEAR		7
145		THROUGH		7
146		NATIVE		7
147		POWERPOINT		7
148		LAST		7
149		TOOL		7
150		SAME		7
151		SEE		7
152		SKYPE		7
153		CALLED		6
154		???		6
